Table Name,Table Rows,Avg row length,Data length,Index length,Auto Increment
administrators,21,780,16384,0,22
administrators_has_languages,42,390,16384,32768,NULL
amenities,25,655,16384,0,26
beds,5,3276,16384,0,NULL
booking,35,468,16384,32768,36
city,48,341,16384,0,65
costs,20,819,16384,16384,21
country,23,712,16384,0,24
e_mail,69,237,16384,49152,70
guest_adress,20,819,16384,49152,21
guest_review,25,655,16384,32768,26
guests,23,712,16384,0,25
guests_has_languages,42,390,16384,32768,NULL
hosts,20,819,16384,0,21
hosts_has_languages,20,819,16384,32768,NULL
languages,22,744,16384,0,23
payment,35,468,16384,98304,36
payment_information,46,356,16384,32768,47
properties,20,819,16384,49152,21
properties_has_beds,35,468,16384,32768,NULL
property_adress,20,819,16384,32768,21
property_availability,40,409,16384,16384,NULL
property_has_amenities,76,215,16384,32768,NULL
property_images,54,303,16384,16384,NULL
property_review,36,455,16384,32768,37
property_rules,20,819,16384,0,21
telephone_numbers,72,227,16384,49152,73
